obcina,enota_nmp,povrsina,st_preb
Slovenska Bistrica,ZD Slovenska Bistrica,260.1,26042
Slovenske Konjice,ZD Slovenske Konjice,97.8,15221
Solčava,ZSDZ NAZARJE,102.8,524
Središče ob Dravi,ZD Ormož,32.7,1904
Starše,ZD Maribor,34.0,4077
Sveta Ana,ZD Lenart,37.2,2326
Sveta Trojica v Slov. goricah,ZD Lenart,25.9,2194
Sveti Andraž v Slov. goricah,ZD Ptuj,17.6,1201
Sveti Jurij ob Ščavnici,ZD Gornja Radgona,51.3,2855
Sveti Jurij v Slov. goricah,ZD Lenart,30.7,2118
Sveti Tomaž,ZD Ormož,38.1,2015
Šalovci,ZD Murska Sobota,58.2,1372
Šentilj,ZD Maribor,65.0,8367
Šentjur,ZD Šentjur,222.3,19378
Šmarje pri Jelšah,ZD Šmarje pri Jelšah,107.7,10361
Šmartno ob Paki,ZD Velenje,18.2,3324
Šoštanj,ZD Velenje,95.6,8822
Štore,ZD Celje,28.1,4396
Tabor,ZD Žalec,34.8,1693
Tišina,ZD Murska Sobota,38.8,3941
Trbovlje,ZD Trbovlje,58.0,15893
Trnovska vas,ZD Ptuj,22.9,1385
Turnišče,ZD Lendava,23.8,3153
Velenje,ZD Velenje,83.5,33548
Velika Polana,ZD Lendava,18.7,1387
Veržej,ZD Ljutomer,12.0,1371
Videm,ZD Ptuj,80.0,5601
Vitanje,ZD Slovenske Konjice,59.4,2266
Vojnik,ZD Celje,75.3,9063
Vransko,ZD Žalec,53.3,2672
Vuzenica,ZD Radlje ob Dravi,50.1,2652
Zagorje ob Savi,ZD Zagorje,147.1,16307
Zavrč,ZD Ptuj,19.3,1506
Zreče,ZD Slovenske Konjice,67.0,6576
Žalec,ZD Žalec,117.1,21477
Žetale,ZD Ptuj,38.0,1309
