OE ZZZS,OBČINA_IME,ŠT.Prebivalcev,OE ZZZS izpostava,ZD,enota NMP,Površina v km2,
Ljubljana,Hrastnik,8980,Hrastnik,ZD Hrastnik,ZD Hrastnik,58.60,0.30,1,
Maribor,Juršinci,2456,Ptuj,ZD Ptuj,ZD Ptuj,36.30,
Maribor,Kidričevo,6554,Ptuj,ZD Ptuj,ZD Ptuj,71.50,
Murska Sobota,Kobilje,538,Lendava,ZD Lendava,ZD Lendava,19.70,
Krško,Kostanjevica na Krki,2443,Krško,ZD Krško,ZD Krško,58.30,
Celje,Kozje,3039,Šmarje pri Jelšah,ZD Šmarje pri Jelšah,ZD Šmarje pri Jelšah,89.70,
Murska Sobota,Križevci,3536,Ljutomer,ZD Ljutomer,ZD Ljutomer,46.20,
Krško,Krško,25775,Krško,ZD Krško,ZD Krško,286.50,
Maribor,Kungota,4873,Maribor,ZD Maribor,ZD Maribor,49,
Murska Sobota,Kuzma,1661,Murska Sobota,ZD Murska Sobota,ZD Murska Sobota,22.90,
Celje,Laško,13059,Laško,ZD Laško,ZD Laško,197.50,1,1,
Maribor,Lenart,8518,Lenart,ZD Lenart,ZD Lenart,62.10,1.19,1,
Murska Sobota,Lendava/Lendva,10404,Lendava,ZD Lendava,ZD Lendava,122.90,1.30,1.30,
Ravne na Koroškem,Ljubno,2561,Mozirje,ZSDZ NAZARJE,ZSDZ NAZARJE,78.90,
Murska Sobota,Ljutomer,11214,Ljutomer,ZD Ljutomer,ZD Ljutomer,107.20,1,1,
Maribor,Lovrenc na Pohorju,2967,Maribor,ZD Maribor,ZD Maribor,84.40,
Ravne na Koroškem,Luče,1469,Mozirje,ZSDZ NAZARJE,ZSDZ NAZARJE,109.50,
Maribor,Majšperk,4046,Ptuj,ZD Ptuj,ZD Ptuj,72.80,
Maribor,Makole,2024,Slovenska Bistrica,ZD Slovenska Bistrica,ZD Slovenska Bistrica,36.90,
Maribor,Maribor,112838,Maribor,ZD Maribor,ZD Maribor,147.50,2.50,3.50,2.50,1,
Maribor,Markovci,4026,Ptuj,ZD Ptuj,ZD Ptuj,29.80,
Ravne na Koroškem,Mežica,3579,Ravne na Koroškem,ZD Ravne na Koroškem,Zdravstveno reševalni center Koroške,26.40,
Maribor,Miklavž na Dravskem polju,7013,Maribor,ZD Maribor,ZD Maribor,12.50,
